killer_champion	victim_champion
Fiora	Yasuo
Sivir	Bard
Fiora	Lulu
Nidalee	Lee Sin
Nidalee	Yasuo
Fiora	Bard
Fiora	Lulu
Nidalee	Yasuo
Nidalee	Lee Sin
Yasuo	Viktor
Kennen	Yasuo
Sivir	Bard
Tristana	Nidalee
Sivir	Tristana
Nidalee	Lulu
Yasuo	Nidalee
Tristana	Fiora
Bard	Viktor
Yasuo	Fiora
Kennen	Lee Sin
Lulu	Kennen
Sivir	Lulu
Sivir	Tristana
Yasuo	Nidalee
Yasuo	Sivir
Sivir	Yasuo
Viktor	Lee Sin
Tristana	Nidalee
Nidalee	Lulu
Tristana	Fiora
Yasuo	Sivir
Yasuo	Kennen
Nidalee	Lee Sin
Yasuo	Fiora
Yasuo	Viktor
Yasuo	Nidalee
Lulu	Kennen
Tristana	Nidalee
Sivir	Lee Sin
Tristana	Sivir
Tristana	Fiora
Yasuo	Viktor
Tristana	Fiora
Nidalee	Lee Sin
Nidalee	Bard
Sivir	Lulu
Nidalee	Tristana
Yasuo	Sivir
Nidalee	Lee Sin
Yasuo	Nidalee
Yasuo	Viktor
Tristana	Fiora
Yasuo	Nidalee
Yasuo	Viktor
Yasuo	Kennen
Lee Sin	Sivir
Quinn	Gangplank
Blitzcrank	Alistar
Miss Fortune	Blitzcrank
Lucian	Miss Fortune
Illaoi	Lissandra
Lissandra	Quinn
Gangplank	Azir
Lucian	Quinn
Blitzcrank	Alistar
Illaoi	Rek'Sai
Azir	Lissandra
Gangplank	Azir
Lissandra	Illaoi
Quinn	Rek'Sai
Quinn	Lissandra
Alistar	Blitzcrank
Quinn	Gangplank
Illaoi	Lissandra
Rek'Sai	Illaoi
Quinn	Lucian
Azir	Blitzcrank
Quinn	Gangplank
Quinn	Lissandra
Azir	Blitzcrank
Miss Fortune	Lucian
Quinn	Rek'Sai
Azir	Blitzcrank
Alistar	Lissandra
Illaoi	Gangplank
Illaoi	Lucian
Illaoi	Lissandra
Quinn	Gangplank
Miss Fortune	Rek'Sai
Lucian	Miss Fortune
Azir	Blitzcrank
Azir	Lissandra
Gangplank	Alistar
Lucian	Quinn
Illaoi	Blitzcrank
Illaoi	Lucian
Illaoi	Rek'Sai
Miss Fortune	Gangplank
Miss Fortune	Lissandra
Illaoi	Lucian
Illaoi	Blitzcrank
Miss Fortune	Rek'Sai
Gangplank	Illaoi
Azir	Lissandra
Miss Fortune	Gangplank
Miss Fortune	Blitzcrank
Miss Fortune	Blitzcrank
Twisted Fate	Shaco
Lucian	Twisted Fate
Lucian	Thresh
Rek'Sai	Blitzcrank
Jarvan IV	Kayle
Miss Fortune	Lucian
Twisted Fate	Jarvan IV
Lissandra	Rek'Sai
Blitzcrank	Thresh
Twisted Fate	Jarvan IV
Lucian	Miss Fortune
Jarvan IV	Kayle
Lucian	Thresh
Lissandra	Kayle
Twisted Fate	Shaco
Jarvan IV	Kayle
Lissandra	Twisted Fate
Rek'Sai	Blitzcrank
Lucian	Rek'Sai
Miss Fortune	Lissandra
Lucian	Miss Fortune
Twisted Fate	Lissandra
Kayle	Jarvan IV
Shaco	Miss Fortune
Kayle	Jarvan IV
Shaco	Kayle
Lucian	Rek'Sai
Miss Fortune	Jarvan IV
Miss Fortune	Shaco
Lucian	Rek'Sai
Lucian	Twisted Fate
Lucian	Miss Fortune
Lissandra	Twisted Fate
Lucian	Miss Fortune
Lucian	Thresh
Lucian	Twisted Fate
Lucian	Thresh
Lucian	Kayle
Rek'Sai	Lucian
Shaco	Miss Fortune
Shaco	Rek'Sai
Lissandra	Kayle
Lissandra	Thresh
Jarvan IV	Twisted Fate
Jarvan IV	Miss Fortune
Jarvan IV	Rek'Sai
Irelia	Nidalee
Zac	Braum
Nidalee	Lucian
Quinn	Braum
Zac	Lucian
Lucian	Zac
Irelia	Nidalee
Braum	Quinn
Nidalee	Lissandra
Quinn	Lucian
Irelia	Diana
Ekko	Diana
Quinn	Lucian
Braum	Quinn
Lucian	Quinn
Diana	Lucian
Zac	Braum
Quinn	Irelia
Ekko	Diana
Ekko	Trundle
Lissandra	Zac
Ekko	Nidalee
Irelia	Diana
Lucian	Trundle
Lissandra	Zac
Irelia	Nidalee
Irelia	Quinn
Lucian	Diana
Ekko	Zac
Ekko	Nidalee
Ekko	Quinn
Ekko	Diana
Braum	Trundle
Irelia	Quinn
Lucian	Diana
Irelia	Zac
Irelia	Trundle
Lissandra	Diana
Quinn	Braum
Trundle	Irelia
Ekko	Nidalee
Lucian	Trundle
Zac	Lissandra
Diana	Lucian
Irelia	Diana
Irelia	Quinn
Irelia	Trundle
Irelia	Quinn
Zac	Braum
Lee Sin	Kassadin
Dr. Mundo	Fiora
Lucian	Vayne
Thresh	Blitzcrank
Lucian	Thresh
Blitzcrank	Kassadin
Kassadin	Lee Sin
Vayne	Lucian
Lucian	Vayne
Twisted Fate	Thresh
Lee Sin	Graves
Lucian	Vayne
Dr. Mundo	Fiora
Thresh	Blitzcrank
Kassadin	Dr. Mundo
Vayne	Lucian
Vayne	Lee Sin
Twisted Fate	Fiora
Graves	Twisted Fate
Dr. Mundo	Graves
Kassadin	Dr. Mundo
Blitzcrank	Vayne
Lucian	Thresh
Kassadin	Lucian
Kassadin	Blitzcrank
Twisted Fate	Graves
Lucian	Graves
Lee Sin	Kassadin
Lucian	Graves
Blitzcrank	Kassadin
Lucian	Thresh
Lee Sin	Vayne
Dr. Mundo	Fiora
Blitzcrank	Kassadin
Twisted Fate	Graves
Thresh	Lee Sin
Vayne	Dr. Mundo
Lucian	Fiora
Lucian	Kassadin
Vayne	Blitzcrank
Graves	Lucian
Twisted Fate	Graves
Twisted Fate	Vayne
Fiora	Lee Sin
Twisted Fate	Vayne
Fiora	Blitzcrank
Dr. Mundo	Fiora
Thresh	Lucian
Vayne	Dr. Mundo
Blitzcrank	Fiora
Vayne	Twisted Fate
Lee Sin	Kassadin
Vayne	Blitzcrank
Vayne	Lee Sin
Blitzcrank	Vayne
Twisted Fate	Fiora
Karthus	Fizz
Fizz	Karthus
Volibear	Karthus
Volibear	Janna
Lucian	Tristana
Volibear	Lucian
Jarvan IV	Jax
Volibear	Jarvan IV
Fizz	Karthus
Karthus	Jax
Karthus	Volibear
Fizz	Dr. Mundo
Lucian	Thresh
Lucian	Tristana
Fizz	Janna
Lucian	Fizz
Volibear	Lucian
Jarvan IV	Fizz
Lucian	Thresh
Tristana	Dr. Mundo
Lucian	Tristana
Volibear	Karthus
Jarvan IV	Thresh
Dr. Mundo	Jax
Volibear	Jarvan IV
Fizz	Janna
Dr. Mundo	Tristana
Fizz	Dr. Mundo
Lucian	Volibear
Jax	Lucian
Volibear	Dr. Mundo
Fizz	Janna
Lucian	Fizz
Lucian	Thresh
Lucian	Jax
Volibear	Lucian
Volibear	Jarvan IV
Volibear	Janna
Karthus	Volibear
Tristana	Dr. Mundo
Lucian	Fizz
Jarvan IV	Volibear
Lucian	Fizz
Jarvan IV	Thresh
Lucian	Jax
Tristana	Jarvan IV
Volibear	Janna
Karthus	Volibear
Lucian	Tristana
Thresh	Lucian
Dr. Mundo	Fizz
Jax	Karthus
Dr. Mundo	Thresh
Jarvan IV	Jax
Jarvan IV	Jax
Lucian	Tristana
Lucian	Thresh
Lucian	Fizz
Lucian	Volibear
Corki	Diana
Kalista	Sona
Corki	Yasuo
Tahm Kench	Sona
Corki	Quinn
Nidalee	Yasuo
Corki	Ekko
Kalista	Quinn
Kalista	Sona
Nidalee	Sona
Corki	Diana
Corki	Yasuo
Tahm Kench	Ekko
Corki	Yasuo
Corki	Sona
Corki	Diana
Tahm Kench	Quinn
Yasuo	Tahm Kench
Kalista	Yasuo
Quinn	Kalista
Corki	Diana
Nidalee	Sona
Diana	Nidalee
Corki	Diana
Tahm Kench	Ekko
Corki	Sona
Corki	Yasuo
Corki	Quinn
Kalista	Diana
Tahm Kench	Yasuo
Nidalee	Sona
Kalista	Ekko
Diana	Nidalee
Corki	Quinn
Diana	Tahm Kench
Corki	Diana
Yasuo	Corki
Corki	Ekko
Kalista	Diana
Kalista	Yasuo
Kalista	Sona
Quinn	Kalista
Quinn	Tahm Kench
Lucian	Annie
Fiora	Rumble
Lucian	Miss Fortune
Lee Sin	Dr. Mundo
Dr. Mundo	Tahm Kench
Fiora	Lucian
Lux	Lee Sin
Fiora	Rumble
Ziggs	Lux
Lee Sin	Annie
Lucian	Miss Fortune
Dr. Mundo	Lucian
Dr. Mundo	Tahm Kench
Ziggs	Dr. Mundo
Lux	Lee Sin
Dr. Mundo	Ziggs
Ziggs	Fiora
Lux	Lee Sin
Lucian	Miss Fortune
Dr. Mundo	Tahm Kench
Dr. Mundo	Lucian
Lee Sin	Lux
Rumble	Annie
Dr. Mundo	Lee Sin
Rumble	Fiora
Ziggs	Miss Fortune
Fiora	Rumble
Lee Sin	Miss Fortune
Ziggs	Lux
Dr. Mundo	Lee Sin
Lucian	Fiora
Dr. Mundo	Lee Sin
Dr. Mundo	Rumble
Lucian	Lux
Ziggs	Annie
Lucian	Dr. Mundo
Lux	Lee Sin
Lucian	Fiora
Fiora	Lee Sin
Lucian	Dr. Mundo
Miss Fortune	Tahm Kench
Ziggs	Miss Fortune
Annie	Lee Sin
Lucian	Fiora
Miss Fortune	Lee Sin
Miss Fortune	Rumble
Lucian	Miss Fortune
Lux	Lucian
Ziggs	Annie
Fiora	Ziggs
Lux	Tahm Kench
Fiora	Tahm Kench
Dr. Mundo	Ziggs
Rumble	Dr. Mundo
Lux	Ziggs
Lucian	Lux
Miss Fortune	Lee Sin
Miss Fortune	Lucian
Lee Sin	Miss Fortune
Lux	Rumble
Ziggs	Dr. Mundo
Lux	Lee Sin
Fiora	Tahm Kench
Lucian	Lux
Fiora	Lucian
Ziggs	Annie
Fiora	Rumble
Fiora	Ziggs
Fiora	Tahm Kench
Miss Fortune	Lucian
Lucian	Vayne
Irelia	Jarvan IV
Talon	Orianna
Lucian	Thresh
Lee Sin	Blitzcrank
Lucian	Vayne
Talon	Orianna
Lee Sin	Nidalee
Lucian	Lee Sin
Irelia	Jarvan IV
Lee Sin	Blitzcrank
Lee Sin	Nidalee
Lucian	Lee Sin
Talon	Vayne
Lucian	Thresh
Nidalee	Thresh
Lee Sin	Talon
Irelia	Jarvan IV
Talon	Orianna
Talon	Irelia
Vayne	Lucian
Vayne	Blitzcrank
Irelia	Nidalee
Talon	Irelia
Talon	Thresh
Talon	Vayne
Orianna	Talon
Lucian	Orianna
Lee Sin	Blitzcrank
Nidalee	Lee Sin
Lucian	Irelia
Orianna	Jarvan IV
Talon	Lee Sin
Irelia	Nidalee
Lucian	Thresh
Irelia	Blitzcrank
Vayne	Lucian
Orianna	Talon
Talon	Irelia
Lee Sin	Jarvan IV
Lucian	Thresh
Lee Sin	Nidalee
Lucian	Irelia
Talon	Orianna
Vayne	Talon
Lucian	Thresh
Vayne	Lucian
Vayne	Blitzcrank
Talon	Lee Sin
Irelia	Lucian
Irelia	Jarvan IV
Nidalee	Vayne
Nidalee	Irelia
Orianna	Talon
Thresh	Nidalee
Blitzcrank	Orianna
Irelia	Lucian
Jarvan IV	Lee Sin
Vayne	Blitzcrank
Vayne	Talon
Lucian	Irelia
Jarvan IV	Vayne
Lee Sin	Blitzcrank
Jarvan IV	Thresh
Lucian	Lee Sin
Talon	Orianna
Kennen	Rammus
Lucian	Zac
Lissandra	Soraka
Lissandra	Vladimir
Rek'Sai	Vladimir
Rammus	Kennen
Lissandra	Rammus
Rammus	Rek'Sai
Lucian	Vayne
Lucian	Soraka
Vladimir	Kennen
Lissandra	Vayne
Lucian	Rammus
Lucian	Soraka
Zac	Lucian
Lissandra	Vladimir
Soraka	Kennen
Vladimir	Lucian
Lucian	Soraka
Rammus	Nami
Vladimir	Rek'Sai
Kennen	Rammus
Vladimir	Lucian
Lissandra	Vayne
Zac	Lissandra
Rek'Sai	Soraka
Rek'Sai	Vladimir
Lucian	Zac
Rammus	Lucian
Rek'Sai	Vayne
Lissandra	Rammus
Zac	Kennen
Vladimir	Lucian
Lissandra	Rammus
Lucian	Vayne
Rammus	Kennen
Lucian	Rammus
Vladimir	Lissandra
Rek'Sai	Zac
Lucian	Soraka
Lucian	Rammus
Lissandra	Rammus
Zac	Lissandra
Vayne	Kennen
Rammus	Lucian
Vayne	Nami
Lucian	Zac
Rammus	Nami
Lucian	Rammus
Soraka	Lissandra
Kennen	Vladimir
Lucian	Zac
Nami	Soraka
Vayne	Lissandra
Vayne	Lucian
Rek'Sai	Vayne
Rammus	Nami
Rammus	Kennen
Rek'Sai	Rammus
Vladimir	Lissandra
Lucian	Vladimir
Vayne	Lucian
Kennen	Vayne
Vladimir	Lucian
Vayne	Lissandra
Zac	Kennen
Quinn	Nasus
Lee Sin	Ekko
Lucian	Ekko
Lee Sin	Corki
Lulu	Lucian
Quinn	Nasus
Nasus	Quinn
Twisted Fate	Corki
Lucian	Blitzcrank
Quinn	Nasus
Blitzcrank	Thresh
Lee Sin	Lulu
Corki	Lee Sin
Ekko	Nasus
Quinn	Twisted Fate
Quinn	Nasus
Lee Sin	Corki
Lucian	Blitzcrank
Lee Sin	Ekko
Quinn	Lucian
Lulu	Thresh
Corki	Lee Sin
Quinn	Twisted Fate
Lee Sin	Quinn
Nasus	Corki
Lulu	Lucian
Lulu	Thresh
Lee Sin	Ekko
Lee Sin	Blitzcrank
Quinn	Twisted Fate
Lee Sin	Lulu
Lee Sin	Ekko
Quinn	Lee Sin
Lulu	Thresh
Lucian	Quinn
Corki	Twisted Fate
Ekko	Nasus
Twisted Fate	Corki
Quinn	Lee Sin
Lucian	Ekko
Corki	Thresh
Quinn	Lucian
Blitzcrank	Twisted Fate
Quinn	Twisted Fate
Quinn	Lucian
Nasus	Corki
Lulu	Lee Sin
Quinn	Nasus
Ekko	Thresh
Thresh	Ekko
Lucian	Quinn
Lucian	Corki
Lulu	Lucian
Lulu	Nasus
Blitzcrank	Lee Sin
Corki	Thresh
Corki	Lee Sin
Quinn	Nasus
Lucian	Blitzcrank
Ekko	Lucian
Quinn	Twisted Fate
Yasuo	Riven
Jax	Lucian
Riven	Diana
Yasuo	Riven
Lucian	Trundle
Ezreal	Thresh
Yasuo	Lucian
Riven	Yasuo
Jax	Riven
Jarvan IV	Trundle
Diana	Thresh
Riven	Diana
Jarvan IV	Jax
Nidalee	Yasuo
Diana	Riven
Jax	Nidalee
Nidalee	Yasuo
Nidalee	Diana
Trundle	Nidalee
Trundle	Thresh
Jax	Lucian
Yasuo	Riven
Jax	Jarvan IV
Trundle	Lucian
Thresh	Diana
Ezreal	Thresh
Ezreal	Nidalee
Yasuo	Riven
Ezreal	Jarvan IV
Lucian	Jax
Lucian	Diana
Yasuo	Jarvan IV
Nidalee	Yasuo
Nidalee	Trundle
Jax	Lucian
Riven	Ezreal
Jax	Riven
Nidalee	Jax
Diana	Nidalee
Diana	Thresh
Ezreal	Riven
Lucian	Yasuo
Nidalee	Jax
Lucian	Diana
Ezreal	Riven
Lucian	Trundle
Diana	Nidalee
Thresh	Yasuo
Jax	Riven
Lucian	Diana
Lucian	Ezreal
Jax	Jarvan IV
Lucian	Jax
Riven	Diana
Trundle	Riven
Jax	Jarvan IV
Yasuo	Nidalee
Jax	Thresh
Lucian	Yasuo
Jax	Riven
Lucian	Jax
Diana	Nidalee
Diana	Riven
Lucian	Diana
Ezreal	Nidalee
Ezreal	Thresh
Yasuo	Lucian
Jax	Jarvan IV
Riven	Trundle
Yasuo	Riven
Lee Sin	Bard
Kalista	Jinx
Bard	Kalista
Lee Sin	Bard
Kalista	Jinx
Kalista	Bard
Rek'Sai	Kalista
Jinx	Lee Sin
Brand	Cassiopeia
Kalista	Jinx
Kalista	Bard
Brand	Cassiopeia
Jinx	Morgana
Fiora	Kalista
Rek'Sai	Lee Sin
Kalista	Jinx
Cassiopeia	Brand
Morgana	Bard
Lee Sin	Rek'Sai
Kalista	Jinx
Bard	Morgana
Kalista	Bard
Ryze	Bard
Lee Sin	Fiora
Fiora	Ryze
Rek'Sai	Lee Sin
Brand	Cassiopeia
Fiora	Ryze
Morgana	Jinx
Kalista	Brand
Lee Sin	Bard
Cassiopeia	Rek'Sai
Bard	Morgana
Kalista	Bard
Jinx	Kalista
Cassiopeia	Brand
Ryze	Brand
Ryze	Fiora
Rek'Sai	Lee Sin
Ryze	Bard
Rek'Sai	Ryze
Kalista	Jinx
Rek'Sai	Kalista
Fiora	Ryze
Jinx	Cassiopeia
Brand	Morgana
Bard	Kalista
Jinx	Ryze
Rek'Sai	Cassiopeia
Jinx	Lee Sin
Jinx	Ryze
Jinx	Morgana
Rek'Sai	Kalista
Fiora	Lee Sin
Kalista	Bard
Rek'Sai	Kalista
Rek'Sai	Cassiopeia
Ryze	Rek'Sai
Jinx	Ryze
Morgana	Fiora
Brand	Lee Sin
Kalista	Brand
Kalista	Jinx
Jinx	Kalista
Kalista	Bard
Rek'Sai	Kalista
Brand	Morgana
Jinx	Ryze
Fiora	Cassiopeia
Brand	Lee Sin
Lucian	Nidalee
Lucian	Twitch
Twitch	Braum
Lee Sin	Rek'Sai
Yasuo	Lee Sin
Syndra	Yasuo
Braum	Nidalee
Syndra	Rek'Sai
Braum	Nidalee
Malphite	Syndra
Nidalee	Lucian
Twitch	Braum
Malphite	Syndra
Braum	Lee Sin
Nidalee	Yasuo
Rek'Sai	Nidalee
Lucian	Twitch
Lee Sin	Malphite
Yasuo	Nidalee
Lucian	Lee Sin
Braum	Nidalee
Lucian	Twitch
Malphite	Nidalee
Lee Sin	Yasuo
Malphite	Lissandra
Malphite	Lissandra
Lucian	Lee Sin
Lucian	Lissandra
Rek'Sai	Lee Sin
Yasuo	Syndra
Yasuo	Twitch
Lucian	Twitch
Yasuo	Syndra
Braum	Nidalee
Lucian	Lee Sin
Rek'Sai	Syndra
Syndra	Lucian
Twitch	Braum
Twitch	Malphite
Lissandra	Yasuo
Rek'Sai	Syndra
Twitch	Braum
Twitch	Rek'Sai
Lucian	Lissandra
Lucian	Nidalee
Lucian	Twitch
Twitch	Lucian
Twitch	Yasuo
Twitch	Braum
Malphite	Syndra
Malphite	Lissandra
Lee Sin	Malphite
Lucian	Nidalee
Rek'Sai	Twitch
Lucian	Lee Sin
Lucian	Lissandra
Malphite	Lee Sin
Malphite	Twitch
Rek'Sai	Nidalee
Syndra	Malphite
Zed	Ahri
Jax	Darius
Nautilus	Zed
Lee Sin	Nautilus
Kha'Zix	Lee Sin
Ahri	Zed
Corki	Nautilus
Ahri	Zed
Darius	Jax
Lee Sin	Darius
Kha'Zix	Lee Sin
Nautilus	Alistar
Lee Sin	Ezreal
Kha'Zix	Jax
Zed	Ahri
Kha'Zix	Zed
Kha'Zix	Lee Sin
Ahri	Zed
Lee Sin	Darius
Nautilus	Alistar
Ezreal	Corki
Lee Sin	Ezreal
Ezreal	Zed
Ahri	Corki
Alistar	Nautilus
Jax	Darius
Jax	Kha'Zix
Ahri	Zed
Corki	Ezreal
Lee Sin	Nautilus
Ahri	Lee Sin
Darius	Alistar
Ezreal	Alistar
Zed	Ezreal
Corki	Darius
Lee Sin	Nautilus
Zed	Kha'Zix
Ahri	Lee Sin
Jax	Darius
Ahri	Corki
Ezreal	Alistar
Ezreal	Jax
Ahri	Alistar
Nautilus	Lee Sin
Ahri	Jax
Corki	Ezreal
Darius	Corki
Kha'Zix	Alistar
Kha'Zix	Zed
Fiora	Ryze
Lucian	Caitlyn
Gragas	Nami
Fiora	Amumu
Gangplank	Corki
Lucian	Caitlyn
Ryze	Fiora
Corki	Gangplank
Amumu	Corki
Corki	Lucian
Corki	Nami
Gragas	Ryze
Amumu	Thresh
Gragas	Ryze
Amumu	Fiora
Lucian	Thresh
Lucian	Caitlyn
Ryze	Gragas
Fiora	Ryze
Nami	Caitlyn
Thresh	Nami
Corki	Lucian
Gragas	Gangplank
Corki	Nami
Corki	Gangplank
Ryze	Thresh
Corki	Ryze
Fiora	Lucian
Gragas	Nami
Fiora	Amumu
Corki	Gangplank
Ryze	Thresh
Fiora	Amumu
Corki	Nami
Gragas	Lucian
Fiora	Gangplank
Fiora	Amumu
Nami	Fiora
Caitlyn	Amumu
Lucian	Fiora
Caitlyn	Gangplank
Corki	Ryze
Gragas	Nami
Corki	Lucian
Gragas	Amumu
Gragas	Ryze
Gragas	Nami
Fiora	Gangplank
Lee Sin	Yasuo
Lee Sin	Janna
Corki	Lee Sin
Lucian	Corki
Dr. Mundo	Renekton
Ryze	Elise
Lee Sin	Yasuo
Lucian	Corki
Dr. Mundo	Lee Sin
Lee Sin	Elise
Dr. Mundo	Ryze
Dr. Mundo	Lee Sin
Dr. Mundo	Renekton
Alistar	Janna
Lucian	Corki
Lee Sin	Yasuo
Ryze	Corki
Alistar	Corki
Elise	Lucian
Corki	Alistar
Lucian	Corki
Corki	Alistar
Yasuo	Ryze
Lee Sin	Yasuo
Elise	Renekton
Alistar	Dr. Mundo
Janna	Alistar
Lee Sin	Yasuo
Ryze	Corki
Lucian	Elise
Ryze	Corki
Lucian	Yasuo
Lucian	Dr. Mundo
Lucian	Kalista
Yasuo	Ezreal
Rek'Sai	Nautilus
Ezreal	Yasuo
Lulu	Nidalee
Lulu	Illaoi
Yasuo	Ezreal
Ezreal	Rek'Sai
Nidalee	Lulu
Lucian	Nautilus
Yasuo	Ezreal
Ezreal	Thresh
Thresh	Nidalee
Rek'Sai	Ezreal
Ezreal	Rek'Sai
Yasuo	Nautilus
Nidalee	Lulu
Nidalee	Rek'Sai
Nidalee	Yasuo
Nidalee	Rek'Sai
Thresh	Ezreal
Nidalee	Yasuo
Lulu	Illaoi
Ezreal	Lulu
Kalista	Lucian
Illaoi	Rek'Sai
Kalista	Thresh
Thresh	Kalista
Lulu	Nautilus
Yasuo	Illaoi
Nidalee	Lucian
Nidalee	Thresh
Nidalee	Yasuo
Rek'Sai	Nidalee
Ezreal	Rek'Sai
Lucian	Ezreal
Nidalee	Lucian
Yasuo	Nautilus
Rek'Sai	Kalista
Nidalee	Rek'Sai
Ezreal	Thresh
Yasuo	Nidalee
Yasuo	Ezreal
Kalista	Yasuo
Nidalee	Rek'Sai
Lulu	Kalista
Lucian	Illaoi
Nidalee	Thresh
Lulu	Nautilus
Ezreal	Lucian
Ezreal	Lulu
Yasuo	Ezreal
Yasuo	Nidalee
Lulu	Ezreal
Ezreal	Rek'Sai
Illaoi	Thresh
Thresh	Illaoi
Yasuo	Kalista
Yasuo	Nidalee
Yasuo	Nautilus
Yasuo	Ezreal
Yasuo	Illaoi
Lulu	Nidalee
Kalista	Lulu
Nautilus	Yasuo
Lucian	Nautilus
Kalista	Thresh
Kalista	Lucian
Kalista	Rek'Sai
Ezreal	Lulu
Ezreal	Lucian
Yasuo	Nidalee
Ezreal	Yasuo
Ezreal	Thresh
Thresh	Nautilus
Ezreal	Rek'Sai
Illaoi	Yasuo
Ezreal	Thresh
Nidalee	Corki
Kindred	Malphite
Malphite	Kindred
Kindred	Nidalee
Kindred	Malphite
Nidalee	Kalista
Corki	Janna
Lucian	Kalista
Corki	Lucian
Kindred	LeBlanc
Illaoi	Malphite
Nidalee	Kindred
Illaoi	Nidalee
Kindred	Malphite
Malphite	Kalista
Corki	Lucian
Janna	Illaoi
Kindred	Malphite
Kindred	Nidalee
Nidalee	Kalista
Kindred	Nidalee
Kindred	Malphite
Kalista	LeBlanc
Kindred	Lucian
Nidalee	Kindred
Corki	Nidalee
Illaoi	Lucian
Malphite	Illaoi
Corki	Janna
Corki	Malphite
Kindred	Nidalee
LeBlanc	Nautilus
Kindred	Lucian
Illaoi	LeBlanc
Twisted Fate	Fizz
Twisted Fate	Zac
Vladimir	Fiora
Fiora	Vladimir
Lee Sin	Zac
Lee Sin	Kalista
Corki	Zac
Vladimir	Fiora
Lee Sin	Janna
Zac	Vladimir
Corki	Kalista
Fizz	Lee Sin
Fizz	Nautilus
Kalista	Corki
Lee Sin	Kalista
Twisted Fate	Zac
Corki	Fizz
Vladimir	Fiora
Janna	Corki
Fiora	Vladimir
Fizz	Lee Sin
Fizz	Twisted Fate
Lee Sin	Fizz
Kalista	Twisted Fate
Fiora	Lee Sin
Fiora	Corki
Kalista	Nautilus
Fiora	Vladimir
Twisted Fate	Kalista
Fiora	Corki
Fiora	Twisted Fate
Vladimir	Fiora
Vladimir	Janna
Twisted Fate	Zac
Lee Sin	Janna
Fizz	Twisted Fate
Vladimir	Fiora
Nautilus	Fizz
Kalista	Vladimir
Kalista	Nautilus
Corki	Zac
Kalista	Lee Sin
Fizz	Twisted Fate
Fizz	Corki
Fizz	Twisted Fate
Corki	Kalista
Fiora	Lee Sin
Fiora	Vladimir
Fiora	Nautilus
Fiora	Corki
Zac	Kha'Zix
Fiora	Renekton
Yasuo	Lulu
Lucian	Ezreal
Kha'Zix	Lucian
Kha'Zix	Nautilus
Fiora	Renekton
Zac	Bard
Yasuo	Kha'Zix
Yasuo	Lulu
Lucian	Ezreal
Fiora	Renekton
Fiora	Kha'Zix
Zac	Kha'Zix
Lucian	Ezreal
Lucian	Bard
Lulu	Yasuo
Lucian	Lulu
Fiora	Kha'Zix
Kha'Zix	Fiora
Lucian	Kha'Zix
Yasuo	Lulu
Lulu	Yasuo
Lucian	Renekton
Nautilus	Ezreal
Fiora	Bard
Kha'Zix	Nautilus
Yasuo	Kha'Zix
Lucian	Bard
Ezreal	Nautilus
Fiora	Ezreal
Lucian	Lulu
Renekton	Yasuo
Lucian	Renekton
Lucian	Kha'Zix
Renekton	Nautilus
Bard	Yasuo
Fiora	Renekton
Lucian	Ezreal
Kha'Zix	Lucian
Fiora	Kha'Zix
Lucian	Ezreal
Yasuo	Renekton
Fiora	Kha'Zix
Renekton	Lucian
Ezreal	Nautilus
Fiora	Lulu
Zac	Ezreal
Fiora	Renekton
Yasuo	Bard
Kassadin	Lulu
Lee Sin	Fiora
Hecarim	Rek'Sai
Draven	Kalista
Bard	Draven
Lulu	Rek'Sai
Draven	Bard
Hecarim	Draven
Fiora	Kalista
Fiora	Hecarim
Fiora	Lee Sin
Lulu	Nautilus
Kassadin	Bard
Kassadin	Kalista
Kassadin	Lee Sin
Kassadin	Lulu
Kassadin	Lulu
Lee Sin	Fiora
Hecarim	Rek'Sai
Kassadin	Kalista
Kalista	Nautilus
Kalista	Fiora
Bard	Draven
Kalista	Rek'Sai
Nautilus	Kalista
Hecarim	Kassadin
Lulu	Fiora
Lulu	Rek'Sai
Kalista	Draven
Kalista	Kassadin
Lee Sin	Rek'Sai
Lee Sin	Nautilus
Kalista	Nautilus
Lee Sin	Fiora
Kalista	Kassadin
Hecarim	Nautilus
Kalista	Rek'Sai
Hecarim	Fiora
Lee Sin	Nautilus
Jax	Akali
Lucian	Alistar
Nautilus	Draven
Nidalee	Jax
Draven	Lucian
Corki	Alistar
Akali	Jax
Corki	Draven
Corki	Zed
Nidalee	Nautilus
Lucian	Alistar
Zed	Corki
Draven	Elise
Jax	Akali
Elise	Nidalee
Elise	Akali
Nautilus	Zed
Nidalee	Elise
Lucian	Zed
Corki	Nidalee
Lucian	Alistar
Akali	Nautilus
Draven	Corki
Lucian	Akali
Akali	Lucian
Zed	Elise
Draven	Nautilus
Jax	Zed
Draven	Jax
Elise	Akali
Draven	Nautilus
Nidalee	Corki
Zed	Lucian
Draven	Jax
Lucian	Nidalee
Zed	Elise
Zed	Lucian
Corki	Akali
Draven	Nautilus
Nidalee	Elise
Draven	Jax
Akali	Corki
Lucian	Akali
Draven	Lucian
Draven	Corki
Jax	Zed
Nidalee	Jax
Draven	Elise
Draven	Nautilus
Akali	Corki
Nidalee	Lucian
Akali	Jax
Elise	Akali
Nidalee	Elise
Zed	Nautilus
Akali	Lucian
Jax	Akali
Elise	Alistar
Draven	Elise
Nidalee	Corki
Zed	Nautilus
Nidalee	Lucian
Lucian	Nidalee
Akali	Corki
